cond,run,count,thickness,count_err
Pb*4,11,5531.96815,9.13675,281.721626
Pb*3,12,7124.43909,6.75325,329.276451
Pb*2,13,7031.34596,4.48325,315.03762
Pb*1,14,8587.20857,2.298375,375.816887
Pb*0,15,9565.14514,0,354.314353
Al*4,26,7954.62157,4.39425,376.224259
Al*3,27,8140.07086,3.294,378.124047
Al*2,28,9100.3678,2.19375,387.952742
Al*1,29,9543.55592,1.0935,406.000141
Al*0,30,9564.91045,0,367.840938
