cond,run,count,thickness,count_err
Pb*4,11,5659.76343,9.13675,240.658796
Pb*3,12,7206.31423,6.75325,284.925712
Pb*2,13,7421.46463,4.48325,259.955077
Pb*1,14,9089.34299,2.298375,328.277402
Pb*0,15,10431.6042,0,310.441281
Al*4,26,8831.51459,4.39425,314.968037
Al*3,27,8779.33022,3.294,311.743043
Al*2,28,9740.81277,2.19375,327.524963
Al*1,29,10153.2643,1.0935,339.040382
Al*0,30,10651.693,0,312.010881
